#  E (eV)   dos(E)     Int dos(E) EFermi =    4.352 eV
   7.900  0.4361E-84  0.2800E+02
   8.000  0.4361E-84  0.2800E+02
   8.100  0.4361E-84  0.2800E+02
   8.200  0.4361E-84  0.2800E+02
   8.300  0.4361E-84  0.2800E+02
   8.400  0.4361E-84  0.2800E+02
   8.500  0.4361E-84  0.2800E+02
   8.600  0.4361E-84  0.2800E+02
   8.700  0.4361E-84  0.2800E+02
   8.800  0.4361E-84  0.2800E+02
   8.900  0.4361E-84  0.2800E+02
   9.000  0.4361E-84  0.2800E+02
