 &plot nbnd=  38, nks=    37 /
            0.000000  0.000000  0.000000
  -10.358  -10.357  -10.246  -10.246  -10.244  -10.244  -10.193  -10.193  -10.191  -10.191
  -10.191  -10.191  -10.190  -10.190  -10.048  -10.048  -10.046  -10.046  -10.032  -10.030
   -9.197   -9.162   -9.004   -8.966   -2.023   -1.914    0.494    0.867    3.357    3.357
    3.374    3.374    3.478    3.478    3.497    3.497    3.544    4.319
           -0.066668 -0.115470  0.000000
  -10.359  -10.357  -10.273  -10.272  -10.244  -10.243  -10.223  -10.221  -10.193  -10.192
  -10.189  -10.188  -10.187  -10.187  -10.071  -10.070  -10.049  -10.047   -9.999   -9.997
   -9.058   -9.024   -8.876   -8.839   -1.961   -1.867    0.490    0.760    2.413    2.528
    2.576    2.768    3.124    3.141    3.276    3.296    3.756    4.312
           -0.133336 -0.230940  0.000000
  -10.371  -10.370  -10.314  -10.313  -10.281  -10.279  -10.243  -10.241  -10.197  -10.195
  -10.181  -10.180  -10.177  -10.175  -10.084  -10.082  -10.051  -10.050   -9.968   -9.966
   -8.694   -8.663   -8.538   -8.505   -1.890   -1.846    0.097    0.117    1.295    1.463
    1.799    2.249    2.428    2.447    2.674    2.695    3.777    4.080
           -0.200004 -0.346410  0.000000
  -10.402  -10.401  -10.328  -10.327  -10.325  -10.323  -10.245  -10.244  -10.199  -10.197
  -10.174  -10.172  -10.166  -10.164  -10.087  -10.086  -10.056  -10.055   -9.947   -9.946
   -8.229   -8.204   -8.108   -8.081   -2.097   -2.092   -0.812   -0.791    0.965    1.178
    1.472    1.493    1.816    1.834    1.991    2.392    3.504    3.559
           -0.266672 -0.461880  0.000000
  -10.423  -10.422  -10.354  -10.352  -10.325  -10.323  -10.250  -10.249  -10.197  -10.195
  -10.172  -10.170  -10.160  -10.159  -10.083  -10.082  -10.063  -10.061   -9.937   -9.936
   -7.843   -7.829   -7.756   -7.742   -2.414   -2.406   -1.369   -1.362    0.626    0.639
    1.014    1.031    1.416    1.599    2.388    2.606    2.888    2.950
           -0.333340 -0.577350  0.000000
  -10.428  -10.427  -10.360  -10.359  -10.324  -10.323  -10.253  -10.251  -10.193  -10.192
  -10.174  -10.173  -10.160  -10.158  -10.078  -10.076  -10.069  -10.067   -9.934   -9.933
